playlist_id,playlist_name,genre,playlist_description,n_track
37i9dQZF1EIeZKM1YFAtwx,Electronic Music Mix,Electronic,Electronic music picked just for you,50
0uNeN7uvvn6RTuyTA89SYN,ELECTRÓNICA ANTIGUA / ELECTRÓNICA VIEJA,Electronic,"LO MEJOR DE LA MUSICA ELECTRÓNICA DEL MOMENTO, NEW, CLASSIC, OLD, ELECTRÓNIC MUSIC, PARTY, HITS, DANCE, ANTIGUA, ACTUAL, PARA BAILAR Y DISFRUTAR,  NUEVA, VIEJA, CLÁSICA, FAMOSA, BAILABLE, CABARET, EXITOS, URBANA, FIESTA, DISCO, PUB, CUMPLEAÑOS, AMIGOS, VERANO, PARRILADA, REUNIÓN, PLAYA, BBQ, DISCO",80
37i9dQZF1EQp9BVPsNVof1,舞曲/电音合辑,Electronic,<a href=spotify:playlist:37i9dQZF1EIVmqhwdlpWRU>David Guetta</a>、<a href=spotify:playlist:37i9dQZF1EIZ8ZJF1M4Cbt>Kygo</a>、<a href=spotify:playlist:37i9dQZF1EIYsz1P7DUvZx>Pitbull</a> 等更多曲风,50
0hFdLSza4c04Hyw36dhzMC,Electrónica 90s 2000,Electronic,,72
42EjVedj4QyI7hSYjglAMM,Electronical Music Mix,Electronic,"Explore the best in electronic beats and melodies with our dynamic mix. From pulsating techno to uplifting house, dive into a sonic adventure that&#x27;s perfect for any occasion. Tune in and let the electronic vibes take you on a journey",55
7eb43124appwoRDjOEEFT5,"ELECTRÓNICA , TECNO , DANCE , HIGH ENERGY , TRIBAL , PSYCHO",Electronic,,18
1N81IuMz9MZF8ESjQmLnV6,Electrónicas Antiguas 🤩,Electronic,"Electrónicas antiguas 🤩 lo mejor de la música electrónica del momento, new, classic, old, electrónic music, party, hits, dance, playa, fiesta, amigos, disco, clásica, nueva, electro, exitos, bailable, para bailar y disfrutar, disco, cumpleaños, vieja, reunión, urbana, famosa, bbq, antigua, verano",146
6HfGpKAwi0gkSB4jzEAxWm,Electronic Dream,Electronic,"A playlist containing only the best Melodic Electronic Tracks. Including Melodic Techno &amp; House, Progressive House, Dreamy and Emotional music in this playlist daily updated by Aaron Decay !",50
563J6xdeKsjQIHuTMIUhRh,Electrónica Cristiana 2024 Latin,Electronic,"La mejor musica electronica cristiana para celebrar a Dios! Los mejores exponentes latinos. Carlos Herrera Music, DJ PV, Capital Kings y Mas! La mejor fiesta CEDM, Hermoso Momento Remix, LumiNation, dj cristiano. mint latin, balada gospel, pulso latino, Christian Dance Party, Novedades Cristianas.",57
7zReukaaEAUA1RKOtUruO9,Electronic Music - Best Electronic Songs of All Time,Electronic,Electronic Music - Best Electronic Songs of All Time,150
1ZaUVWYZJTjhR3bhfxz0Ta,Electronic Vibes,Electronic,,30
6ZmT9o6ATlN1rfw86xGhF1,Electronic Trending ✨🔊,Electronic,The best trending Electronic and EDM playlist for anytime. Turn up the volume!,99
6rWwI3K0ihoPByuBbDTrWO,Electronic Country-Folk,Electronic,Folk and country inspired dance music. Follow along @mc4dmusic for more songs like these. Updated weekly,77
3NIvZbI3CCPx9BDtaorXFM,ELECTRONIC DANCE HITS,Electronic,&quot;Get ready to dance with &#x27;Electronic Dance Hits&#x27; playlist! 🕺🎧 Feel the pulse of electrifying beats and timeless EDM classics. Let&#x27;s party the night away! 🎶🔥 #EDMPartyVibes #DanceFloorJams 🚀🎉&quot;,90
24i5xSzcp0u2sIFJZUeUAd,Electronic Dreams 2024 🔥 Dance & House - The best Electronic Mix,Electronic,"This playlist contains the best melodic electronic Tracks. Including genres like Melodic House, Progressive House, Stutter House and emotional, dreamy music. Electronic - Melodic House - Stutter House - Dance Mix - Electronic Music - House Mix - Dance Songs - Melodic Dance Songs - Melodic Beats",100
6rAs3WXg8xQco1tORQZoQt,Electronic 80s The Collection - Ministry Of Sound,Electronic,,80
37i9dQZF1DX8AliSIsGeKd,Electronic Rising,Electronic,The best new electronic music. Cover: Einmusik,90
4bVHXSbCkcXqtJeut03CAX,Electrónica epica,Electronic,pa&#x27; los edits,188
4pu6s1qGeEA1aclqgMJPsG,"Electronic, EDM, House ",Electronic,"EDM and electronics tracks composed by Leroy&#x27;S and some other tracks from Daft Punk to Swedish House Mafia, Guetta, Garrix, etc.",41
2rwjhuZRaEcg9pn6dKgqHo,Electrónica y tribal,Electronic,,41
1rSOZ6bkAzWycZWl0WYju4,Electronic Dance Vibes,Electronic,,650
46gfx4juFFbd8wBVaM9dFA,electronic/edm,Electronic,"www.proedm.net for submissions | Weekly selection of best EDM, Electro House, Dance, Techno, Deep House, Slap House, Pop Songs.",100
16opAnrnmja64UB6LhwCPJ,Electronic Feels ⚡,Electronic,Free Your Mind and get into these Electronic Feels... All tracks by Tom Cavallaro. (Updated Monthly),50
0hLKYU2Wwv5WTu7XwnesPg, Electronic Gems,Electronic,Electronic Gems I Chillsynth I Synthwave I Chillwave,109
42Z9qpxhpmlZiUhzXl1jno,Electronic Music,Electronic,The Best Electronic Music,98
6zrvbaSE5pGw6qHA0UzFR7,ELECTRÓNICA GYM,Electronic,,205
6t62Dji1zdxaTiJTiN3gj2,Electronic Vibes,Electronic,The Best Electronic Music,85
3DmUvC0o8dFg8GLa4B4iZc,Electrónica para correr,Electronic,,76
37i9dQZF1DXa1pcUVlBhYz,Electronic + Dance Frequency,Electronic,"Electronic + Dance making waves, every month. Cover: Kah-Lo and Jamie Jones",65
37i9dQZF1EIcFSbGi7pMSd,Electronica Smooth Mix,Electronic,Electronica Smooth music picked just for you,50
6JTc4cdN83XTFgsUB3XLPA,Electronic Dance Music,Electronic,"Best EDM Music 2024. This is the playlist featuring the latest hits of Electronic Dance Music. Perfect for any festival, party, or for listening while driving and singing out loud. #EDM #Dancemusic",120
1wEqzszbGElTcFt6nNj172,Electronic,Electronic,If I’m playing this I’m likely head banging to a tune in my car,104
3uCdKTPge0wB79lLccykc0,ELECTRÓNICA CHILL,Electronic,,86
7G2PXv0HYePDLjn6awLng1,Electronic Hangout 2024,Electronic,Electronic music across genres for your next hangout or social event. ,38
0jynQ5RaH7HItrtcmZ2wl2,"Electronic, House, Dance, Techno 🔥",Electronic,"La mejor música electrónica para tus fiestas, disfruta de tu música favorita con esta playlist",104
39rV7mFtt8ojOsaPjqzKIK,Electronic Dance Music  Hits !,Electronic,Looking for some great electronic  dance music? In this playlist you&#x27;ll find some of the best hits of the past decade as well as some of today&#x27;s freshest beats.  Life is better when you party!,98
7vbuiB7NznzqyBltlghx3Q,Electrónica Brasilera 🇧🇷,Electronic,,7
3ZiM05BydiyfkTDs6zgoAA,Electronic/Dance Pop,Electronic,,53
4JWP15QmJh1ODr8YxpAda5,Electrónica 2015,Electronic,,134
31raHIQdOuXUGsmMF4wRMY,"Electronic Music best - Moby, Chemical Brothers, Fatboy Slim, Zedd, David Guetta, Calvin Harris",Electronic,,9675
5c30wPSxoNd2yfIT34TeWt,Electronica Para Hacer Ejercicio 2023 💪,Electronic,"Música Electrónica Motivadora para Hacer Ejercicio, Entrenar en el Gym, Correr, Deporte, Ejercicio Duro",95
4JZ06RzZ1I4TOuNoZNaE1H,Electronic Dance Music,Electronic,Playlist to support Newcomer Artists by IzzyK. EDM &#x2F; House &#x2F; TechHouse ! 2 weekly refresh ! Next: 17.05.24 Submit only via dailyplaylists.com,27
0FgIEFACfyyghWhw4x4Ah7,Electrónica Cristiana -  Christian Electronic Dance Music,Electronic,"Música electrónica cristiana, Ingles, español, EDM, fiesta, Party, Mix, Pop, TobyMac, Capital Kings, DJ PV, Alex Zurdo, Hillsong, Gawvi, Hollyn, Boue, electro pop, música cristiana, alabanza, Fiesta Cristiana, adoración, tecno, house, mix cristiano, mezclas cristianas, Dios, Jesús, Planetshakers",69
6VEIxct4Rre5Tj76tt6hvj,Electronic,Electronic,,82
4cFCojduNrVmzeQk8qHWzz,Electronic,Electronic,💃🕺🏻⚡️,1133
3EWoG4Sf8Egf2HqzMynw4v,Electronic,Electronic,,201
5qbzH4bayHdrGRcrhs2iKU,ELECTRONICA CLASICA,Electronic,,158
2dSQcoCKV4wPU56fdVCXIr,Electronic,Electronic,For all your electronic needs,1816
5Gqcwt5qAmsMVjNwiYtIdG,Electronic 80S: The Collection,Electronic,"A selectrion of great 80&#x27;s Electronic music including Frankie Goes to Hollywood, New Order, Visage, Japan, Joy Division and The Human League plus many many more!",93
2dqX4jVe1FxdPYbghYFgtw,Electronic ⚡️,Electronic,,161
37i9dQZF1EQnqst5TRi17F,Hip Hop Mix,Hip hop,"<a href=spotify:playlist:37i9dQZF1EIW8xRaYy9ebd>Future</a>, <a href=spotify:playlist:37i9dQZF1EIWR2Z7ggXEKn>Drake</a>, <a href=spotify:playlist:37i9dQZF1EIY04Fl9yO84f>¥$</a> and more",50
2TuLYNQOAkBiIdMK51otTz,HIPHOP,Hip hop,,58
1oHdyFHvSujRwlbyISoEIW,HIP-HOP INDONESIA TIMUR,Hip hop,Koleksi lagu-lagu Hip-Hop terbaik. Cover: MukaRakat,34
37i9dQZF1DX8OdFBus1U8c,Hip Hop Malayalam,Hip hop,"Set the bars high with Malayalam Hip Hop!
Cover : Neeraj Madhav",80
