playlist_name,valence_group,n_track
Top Songs - Global,0.262 - 0.337,1
Top Songs - Global,0.337 - 0.412,1
Top Songs - Global,0.412 - 0.487,6
Top Songs - Global,0.487 - 0.562,9
Top Songs - Global,0.562 - 0.637,9
Top Songs - Global,0.637 - 0.712,7
Top Songs - Global,0.712 - 0.787,9
Top Songs - Global,0.787 - 0.862,6
Top Songs - Global,0.862 - 0.937,2
Top Songs - Indonesia,0.262 - 0.337,2
Top Songs - Indonesia,0.337 - 0.412,6
Top Songs - Indonesia,0.412 - 0.487,6
Top Songs - Indonesia,0.487 - 0.562,16
Top Songs - Indonesia,0.562 - 0.637,11
Top Songs - Indonesia,0.637 - 0.712,6
Top Songs - Indonesia,0.712 - 0.787,2
Top Songs - Indonesia,0.787 - 0.862,1
Top Songs - Malaysia,0.262 - 0.337,1
Top Songs - Malaysia,0.337 - 0.412,3
Top Songs - Malaysia,0.412 - 0.487,6
Top Songs - Malaysia,0.487 - 0.562,11
Top Songs - Malaysia,0.562 - 0.637,4
Top Songs - Malaysia,0.637 - 0.712,11
Top Songs - Malaysia,0.712 - 0.787,7
Top Songs - Malaysia,0.787 - 0.862,5
Top Songs - Malaysia,0.862 - 0.937,2
