playlist_id,playlist_name,owner_id,playlist_description,n_track
37i9dQZEVXbJwoKy8qKpHG,Top Songs - Spain,spotify,Your weekly update of the most played tracks right now - Spain.,50
37i9dQZEVXbJV3H3OfCN1z,Top Songs - South Africa,spotify,Your weekly update of the most played tracks right now - South Africa.,50
37i9dQZEVXbND4ZYa46PaA,Top Songs - Belgium,spotify,Your weekly update of the most played tracks right now - Belgium.,50
37i9dQZEVXbKPTKrnFPD0G,Top Songs - Argentina,spotify,Your weekly update of the most played tracks right now - Argentina.,50
37i9dQZEVXbKzoK95AbRy9,Top Songs - Brazil,spotify,Your weekly update of the most played tracks right now - Brazil.,50
37i9dQZEVXbL1Fl8vdBUba,Top Songs - Colombia,spotify,Your weekly update of the most played tracks right now - Colombia.,50
37i9dQZEVXbMda2apknTqH,Top Songs - Canada,spotify,Your weekly update of the most played tracks right now - Canada.,50
37i9dQZEVXbNG2KDcFcKOF,Top Songs - Global,spotify,Your weekly update of the most played tracks right now - Global.,50
37i9dQZEVXbLp5XoPON0wI,Top Songs - USA,spotify,Your weekly update of the most played tracks right now - USA.,50
37i9dQZEVXbIZK8aUquyx8,Top Songs - Indonesia,spotify,Your weekly update of the most played tracks right now - Indonesia.,50
37i9dQZEVXbJZGli0rRP3r,Top Songs - South Korea,spotify,Your weekly update of the most played tracks right now - South Korea.,50
37i9dQZEVXbKqiTGXuCOsB,Top Songs - Japan,spotify,Your weekly update of the most played tracks right now - Japan.,50
37i9dQZEVXbK4fwx2r07XW,Top Songs - Australia,spotify,Your weekly update of the most played tracks right now - Australia.,50
37i9dQZEVXbMwmF30ppw50,Top Songs - United Kingdom,spotify,Your weekly update of the most played tracks right now - United Kingdom.,50
37i9dQZEVXbJVKdmjH0pON,Top Songs - Philippines,spotify,Your weekly update of the most played tracks right now - Philippines.,50
37i9dQZEVXbM1EaZ0igDlz,Top Songs - Austria,spotify,Your weekly update of the most played tracks right now - Austria.,50
37i9dQZEVXbLeBcWrdps2V,Top Songs - Kazakhstan,spotify,Your weekly update of the most played tracks right now - Kazakhstan.,50
37i9dQZEVXbMWDif5SCBJq,Top Songs - India,spotify,Your weekly update of the most played tracks right now - India.,50
37i9dQZEVXbIZQf3WEYSut,Top Songs - UAE,spotify,Your weekly update of the most played tracks right now - UAE.,50
37i9dQZEVXbO839WGRmpu1,Top Songs - Saudi Arabia,spotify,Your weekly update of the most played tracks right now - Saudi Arabia.,50
37i9dQZEVXbMy2EcFg5F9m,Top Songs - Egypt,spotify,Your weekly update of the most played tracks right now - Egypt.,50
37i9dQZEVXbLw80jjcctV1,Top Songs - Nigeria,spotify,Your weekly update of the most played tracks right now - Nigeria.,50
37i9dQZEVXbJIvhIOxXxdp,Top Songs - Ireland,spotify,Your weekly update of the most played tracks right now - Ireland.,50
37i9dQZEVXbLRLeF2cVSaP,Top Songs - Belarus,spotify,Your weekly update of the most played tracks right now - Belarus.,50
37i9dQZEVXbNcoJZ65xktI,Top Songs - Ukraine,spotify,Your weekly update of the most played tracks right now - Ukraine.,50
37i9dQZEVXbKUoIkUXteF6,Top Songs - Mexico,spotify,Your weekly update of the most played tracks right now - Mexico.,50
37i9dQZEVXbJ5J1TrbkAF9,Top Songs - Israel,spotify,Your weekly update of the most played tracks right now - Israel.,50
37i9dQZEVXbNM8vS9cIqAG,Top Songs - Morocco,spotify,Your weekly update of the most played tracks right now - Morocco.,50
37i9dQZEVXbLJ0paT1JkgZ,Top Songs - Chile,spotify,Your weekly update of the most played tracks right now - Chile.,50
37i9dQZEVXbMdvweCgpBAe,Top Songs - Hong Kong,spotify,Your weekly update of the most played tracks right now - Hong Kong.,50
37i9dQZEVXbMVY2FDHm6NN,Top Songs - Taiwan,spotify,Your weekly update of the most played tracks right now - Taiwan.,50
