playlist_name,valence_group,n_track
Top Songs - Global,0.05 - 0.15,3
Top Songs - Global,0.15 - 0.25,11
Top Songs - Global,0.25 - 0.35,6
Top Songs - Global,0.35 - 0.45,5
Top Songs - Global,0.45 - 0.55,5
Top Songs - Global,0.55 - 0.65,6
Top Songs - Global,0.65 - 0.75,7
Top Songs - Global,0.75 - 0.85,4
Top Songs - Global,0.85 - 0.95,3
Top Songs - Indonesia,0.05 - 0.15,4
Top Songs - Indonesia,0.15 - 0.25,9
Top Songs - Indonesia,0.25 - 0.35,13
Top Songs - Indonesia,0.35 - 0.45,11
Top Songs - Indonesia,0.45 - 0.55,6
Top Songs - Indonesia,0.55 - 0.65,2
Top Songs - Indonesia,0.65 - 0.75,2
Top Songs - Indonesia,0.75 - 0.85,2
Top Songs - Indonesia,0.85 - 0.95,1
Top Songs - Malaysia,0.05 - 0.15,2
Top Songs - Malaysia,0.15 - 0.25,10
Top Songs - Malaysia,0.25 - 0.35,6
Top Songs - Malaysia,0.35 - 0.45,9
Top Songs - Malaysia,0.45 - 0.55,4
Top Songs - Malaysia,0.55 - 0.65,5
Top Songs - Malaysia,0.65 - 0.75,6
Top Songs - Malaysia,0.75 - 0.85,2
Top Songs - Malaysia,0.85 - 0.95,6
